PLAYER,AGE,TM,MAIN POS,OTHER POS,W,L,IP,HA,BB,K,ER,SV,ERA,WHIP,K/9,QS,GS,G,HRA,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Joel Peguero,28,SF,RP,,2.151747425,2.331847215,48,50.03636866,19.57124321,40.3818507,23.76993267,2.9601,4.456862376,1.450158581,7.571597005,0,0,48,5.523761243,-7.519081454,-3.961366924,576
Michael Kelly,33,ATH,RP,,2.798740693,2.895568583,55,54.34755816,23.52767825,49.33980226,29.27640886,2.6552,4.790685087,1.415913389,8.073785824,0,0,51,8.127062387,-7.540957317,-3.983242787,
Alexis Diaz,29,TEX,RP,,1.981282477,2.131563701,44,39.82470977,22.51123537,44.04752098,22.89653504,1.5,4.683382168,1.416726026,9.0097202,0,0,46,6.319518053,-7.577495255,-4.019780725,
Seth Halvorsen,26,COL,RP,,2.228916689,2.496224392,43,44.43049805,19.23651466,41.3250949,22.40859029,2.95,4.69017006,1.480628203,8.649438467,0,0,43,5.653174368,-7.671253927,-4.113539397,
Kohl Drake,25,ARI,SP,,1.954887961,2.475824242,36,37.18927634,13.27358244,21.6082837,17.98713505,0,4.496783763,1.401746077,5.402070925,3,7.248,9,5.012801158,-7.783077569,-5.392317574,
Jordan Montgomery,33,TEX,SP,,2.543336029,3.886063715,62,64.50681331,20.92998196,38.04238091,31.34002082,0,4.549357862,1.378012827,5.5222811,6,9.396,18,8.285648293,-7.79162051,-5.400860516,
Mitch Bratt,22,ARI,SP,,0.997251758,2.905533504,40,42.07717733,10.37557675,17.30729967,19.74226106,0,4.442008738,1.311318852,3.894142425,3,7.924,10,5.51488343,-7.866822616,-5.476062622,
Carson Whisenhunt,25,SF,SP,,2.182799728,3.664527081,54,55.75221577,20.04453395,30.37742589,26.80592501,0,4.467654169,1.403643513,5.062904315,5,9.348,19,6.764570267,-7.932389549,-5.541629555,
Hayden Birdsong,24,SF,RP,SP,3.061239088,4.705975029,66,62.40735418,33.29853538,54.64349057,34.01569411,0,4.638503742,1.450089236,7.451385078,5,11.92,21,9.168689893,-7.953984485,-4.396269956,
Josiah Gray,28,WSN,SP,,5.313280684,7.855575361,106,105.0280107,43.44614161,90.80147372,58.70137729,0,4.984079204,1.40069955,7.709559089,7,19.164,20,18.52722507,-7.979054382,-5.588294388,
