PLAYER,AGE,TM,MAIN POS,OTHER POS,W,L,IP,HA,BB,K,ER,SV,ERA,WHIP,K/9,QS,GS,G,HRA,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Gavin Williams,26,CLE,SP,,9.323333179,9.818988389,164,143.048222,70.03752314,166.4182434,71.78063133,0,3.939180988,1.299303324,9.132708481,14,30.356,30,20.49944585,-1.922279508,0.468480487,145
Zac Gallen,30,ARI,SP,,11.03244304,10.66278011,180,171.490016,59.15059789,167.467005,83.41600457,0,4.170800229,1.281336744,8.373350251,16,30.656,31,23.15126875,-1.945735541,0.445024453,213
Shane Bieber,30,TOR,SP,,7.520844116,6.804327099,116,108.4124886,27.68321834,104.4405221,49.47870064,0,3.838864705,1.173238853,8.103143953,11,19.088,24,14.7537053,-2.019285761,0.371474234,198
Robbie Ray,34,SF,SP,,9.802305407,10.15874182,166,148.4288244,63.4832686,178.0335251,77.40484655,0,4.196648307,1.276578874,9.652420033,14,29.756,30,24.46758181,-2.034605263,0.356154731,156
Trevor Megill,32,MIL,RP,,3.946742351,2.52465652,60,48.14200589,20.92483783,74.77708947,22.67593051,17.2257,3.401389576,1.151114062,11.21656342,0,0.3,59,7.033175212,-2.163733313,1.393981216,134
Sandy Alcantara,30,MIA,SP,,9.956125993,10.8089867,176,170.1304475,51.81780345,140.742889,79.91804114,0,4.086718013,1.261069608,7.197079552,16,29.456,30,20.43316892,-2.177157865,0.213602129,157
Emilio Pagan,34,CIN,RP,,3.288136061,2.499738222,64,53.94052593,21.60494556,72.71490461,28.1190101,28.3061,3.954235795,1.180397992,10.22553346,0,0,64,10.37813544,-2.196014438,1.361700091,141
Bryce Miller,27,SEA,SP,,8.292460472,7.803101285,136,123.7197421,41.10398197,122.7978732,61.35986377,0,4.06057922,1.211939147,8.126329846,11,25.084,24,20.06988629,-2.281012764,0.10974723,244
Pete Fairbanks,32,MIA,RP,,3.250997055,2.553183916,59,51.2544564,20.58223176,61.13527643,23.04031602,27.0523,3.514624478,1.217570986,9.325720133,0,0,60,5.978182912,-2.302030385,1.255684145,146
Cody Ponce,31,TOR,SP,,7.612802584,8.079825566,132,122.6831233,39.06057908,139.3208025,59.84151486,0,4.080103286,1.225331078,9.499145625,13,19.988,37,17.58551726,-2.378129776,0.012630218,297
Jose Soriano,27,LAA,SP,,10.21468512,10.24848904,164,151.2058159,69.50863203,147.2944051,69.52123852,0,3.815189919,1.345819805,8.083229546,15,28.856,31,13.84299682,-2.390759994,0,311
Ryan Walker,30,SF,RP,,3.582203861,2.890515644,63,56.57638633,20.01088152,64.56724982,24.60969568,23.4405,3.515670811,1.215670918,9.223892831,0,0.6,64,5.95582076,-2.394692231,1.163022299,204
Merrill Kelly,37,ARI,SP,,9.674098048,9.060323619,159,152.6552334,47.42894984,144.2947031,73.7181988,0,4.172728234,1.25839109,8.167624702,14,27.608,28,21.06345803,-2.398522574,-0.00776258,214
Grayson Rodriguez,26,LAA,SP,,6.630967977,7.211993713,115,102.6971127,37.10212224,120.6436966,48.93963619,0,3.830058484,1.215645522,9.4416806,10,21.736,21,14.93841649,-2.417910273,-0.027150278,298
Bryan Abreu,28,HOU,RP,,4.162082889,2.588349222,69,52.42100552,28.72241358,89.45220601,24.34562278,6.2352,3.175516015,1.175991581,11.66767904,0,0,69,7.082139307,-2.446935102,1.110779428,274
Shane Baz,26,BAL,SP,,9.188028901,9.019288096,149,135.5657322,53.35212368,148.1952288,68.75839433,0,4.153191604,1.267905073,8.951389658,12,27.608,28,20.95792278,-2.513408536,-0.122648542,214
Reynaldo Lopez,32,ATL,SP,,8.482278322,9.19997014,130,118.411118,44.18061842,131.5106682,58.49140439,0,4.049404919,1.250705665,9.104584718,12,21.66,37,16.4805773,-2.523417371,-0.132657376,367
Reid Detmers,26,LAA,RP,,7.711952691,10.64194784,133,119.7517311,47.62025496,146.4741232,60.24209693,0.3,4.076532875,1.258435986,9.911782772,12,21.96,40,18.34467067,-2.587297685,0.970416845,355
Justin Steele,30,CHC,SP,,6.016500804,5.429644096,96,87.04802443,26.32427962,79.23022838,37.52836761,0,3.518284464,1.180961501,7.427833911,9,17.616,19,10.73023437,-2.709812084,-0.319052089,336
Bailey Ober,30,MIN,SP,,8.536907675,9.699533579,154,148.5365968,37.33946112,140.3697987,75.07572295,0,4.38754225,1.206987389,8.203429795,12,27.608,28,26.24664176,-2.718730311,-0.327970317,288
Andrew Abbott,26,CIN,SP,,9.538729453,9.813767059,167,157.6127597,50.96125564,150.8261663,80.47952613,0,4.337219971,1.2489462,8.128356266,14,29.332,29,27.73171217,-2.733626746,-0.342866751,188
Casey Mize,28,DET,SP,,8.658753859,8.421794769,140,136.0379478,38.52441992,121.0732073,63.78627376,0,4.10054617,1.246874055,7.783277613,11,27.008,27,18.8247844,-2.785850699,-0.395090705,268
David Peterson,30,NYM,SP,,10.20906613,8.790168676,159,151.8910116,60.77535641,142.5591771,69.92772612,0,3.958173177,1.337524327,8.069387384,14,28.432,29,16.10671802,-2.808581718,-0.417821724,307
Joey Cantillo,26,CLE,RP,SP,7.067710209,8.921863305,129,112.2175265,54.24564889,134.2374037,54.88374207,0.1,3.829098284,1.290412212,9.365400256,13,20.112,45,15.41110493,-2.81481592,0.74289861,305
Cam Schlittler,25,NYY,SP,,7.94103128,7.081418999,125,111.0904943,46.61782611,126.3405529,55.67387723,0,4.008519161,1.261666563,9.096519809,10,23.536,23,16.00063244,-2.832725848,-0.441965854,129
Jeremiah Estrada,27,SD,RP,,3.995423857,2.707523602,68,50.80751891,27.06696667,89.45897387,24.32732819,1.25,3.219793436,1.145213023,11.84015831,0,0,70,7.928521856,-2.84447287,0.71324166,312
Robert Garcia,29,TEX,RP,,3.497465707,2.833701259,62,53.94856538,21.70422843,65.44500081,24.81956658,19.904,3.602840311,1.220206352,9.500080762,0,0,64,6.986104086,-2.884895282,0.672819248,278
Garrett Whitlock,29,BOS,RP,,4.558191727,2.689002162,70,60.74825221,19.86141276,75.71540309,25.96330717,3.6258,3.338139493,1.151566642,9.73483754,0,1.5,61,7.124843579,-2.902581811,0.655132719,333
Cade Horton,24,CHC,SP,,7.826855144,7.159501658,127,116.4731794,39.2139254,109.3890459,57.24286049,0,4.056580664,1.225882715,7.751979629,10,24.36,24,17.45349476,-2.910515735,-0.51975574,190
Ryne Nelson,28,ARI,SP,RP,9.153827234,9.825298105,156,153.3414386,42.71191745,128.7296166,72.67790586,0.1,4.192956107,1.256752282,7.42670865,14,26.408,35,21.00122516,-2.914810639,-0.524050645,275
Kenley Jansen,38,DET,RP,,3.222646394,2.470026113,56,47.47427098,19.85715666,58.33414694,24.44471087,25.6596,3.928614247,1.202346922,9.375130759,0,0,58,7.831067012,-2.935536444,0.622178086,149
Brandon Pfaadt,27,ARI,SP,,9.509858378,10.15756114,164,166.6525395,38.23725569,142.4234916,79.1894885,0,4.345764613,1.24932802,7.815923319,13,29.032,30,23.5448607,-2.941186553,-0.550426559,366
Braxton Ashcraft,26,PIT,RP,SP,7.598624733,8.948765613,133,128.266398,40.37279437,118.984222,57.96089559,0,3.922165867,1.267963853,8.051563893,13,20.836,39,14.45968999,-2.94459599,0.61311854,301
Garrett Cleavinger,31,TB,RP,,3.649550041,2.723504456,63,49.81341633,23.31564373,76.71134337,23.71290187,8.3529,3.387557409,1.160778731,10.95876334,0,0,65,7.080703597,-3.013998762,0.543715768,442
Dennis Santana,29,PIT,RP,,3.719592547,2.796649323,66,61.2912466,22.07366408,60.98113463,29.03381883,25.4651,3.959157114,1.263104707,8.315609267,0,0,67,7.379590209,-3.105263524,0.452451006,190
Braxton Garrett,28,MIA,SP,,6.468063193,7.807624675,117,115.0653291,28.3104321,104.2311726,51.56288806,0,3.966376005,1.225433856,8.017782505,10,21.436,26,13.96210773,-3.244666003,-0.853906008,456
Adrian Morejon,27,SD,RP,,4.443656064,2.592867383,67,57.75501836,20.21710468,65.80676231,24.45663982,3.2732,3.285220275,1.16376303,8.83971434,0,0.3,68,6.407362088,-3.264914489,0.292800041,380
Bubba Chandler,23,PIT,SP,,8.143413285,9.064456805,142,133.5998265,47.5525089,131.0251723,65.49451158,0.1,4.151060593,1.275720672,8.304412326,12,26.284,31,17.63313842,-3.273595705,-0.882835711,159
Clay Holmes,32,NYM,SP,,9.811886798,9.135968109,146,140.3625122,53.9856302,112.6349376,63.5566169,0,3.917873645,1.331151661,6.943249581,13,26.708,29,13.53592063,-3.277144423,-0.886384429,293
Trevor Rogers,28,BAL,SP,,8.997982927,7.595151883,140,134.4459439,45.20200444,123.8740701,64.70892206,0,4.159859276,1.283199631,7.963333078,12,25.684,25,17.91510547,-3.291384829,-0.900624835,153
Foster Griffin,30,WSN,SP,,6.743539537,8.740417005,123,116.7742913,35.59791361,123.2741727,56.42726666,0,4.12882439,1.238798414,9.020061419,11,20.536,28,15.13058289,-3.295920629,-0.905160635,503
Mitch Keller,29,PIT,SP,,9.898618529,11.18985332,172,170.6970354,51.60689977,152.195548,82.64631426,0,4.324516444,1.292464739,7.963720537,14,30.356,31,21.82388536,-3.312550036,-0.921790041,323
Quinn Priester,25,MIL,SP,RP,8.881167599,8.218001673,142,137.2675007,46.51642624,118.1257102,64.01731913,0,4.057435719,1.294253007,7.486840785,13,23.76,26,16.9463865,-3.317886424,-0.92712643,252
Edwin Uceta,28,TB,RP,,3.896525566,2.940936952,65,53.98788352,24.09968242,78.14881325,26.68147892,10.119,3.69435862,1.201347168,10.82060491,0,0,62,8.526690005,-3.36536097,0.19235356,279
Zebby Matthews,25,MIN,SP,,6.744322541,7.854411681,113,110.1579925,29.43854171,110.4889656,51.08593545,0,4.068791319,1.23536756,8.800006111,10,19.988,27,16.29155174,-3.389748135,-0.998988141,311
Mike Burrows,26,HOU,SP,,6.978167261,8.227693068,124,113.3071054,41.25153556,122.2218829,57.20065632,0,4.151660539,1.246440653,8.870943113,10,23.76,31,18.10387504,-3.397537492,-1.006777498,330
Chad Patrick,27,MIL,SP,,7.682077508,8.931829484,140,129.8376739,44.93271316,128.866441,66.36886216,0,4.266569711,1.248359907,8.284271207,11,25.684,28,22.43017445,-3.418063577,-1.027303583,343
Robert Suarez,34,ATL,RP,,3.610322699,2.57180269,64,56.28096635,19.50675285,68.31749784,26.0771804,11.1905,3.667103494,1.184183113,9.607148134,0,0,64,7.564051434,-3.433689418,0.124025111,197
Will Vest,30,DET,RP,,3.887398141,2.705961322,67,59.57529819,21.04010943,66.2545567,25.61501008,7.7342,3.440822249,1.203215039,8.899865825,0,0,65,6.028901091,-3.485499799,0.07221473,276
Shane Smith,25,CHW,SP,,7.888520428,10.07680182,155,142.4592226,56.86439982,145.5163623,73.0036262,0,4.238920231,1.285958854,8.449337166,12,28.732,29,20.9662004,-3.543482816,-1.152722822,283
Carlos Estevez,33,KC,RP,,3.316599965,3.010292154,62,58.7946912,21.86950389,56.22076981,30.44718749,31.8434,4.419753023,1.301035405,8.161079488,0,0,64,8.795252045,-3.55771453,0,110
Gabe Speier,30,SEA,RP,,3.466508415,2.030681767,56,45.1382137,16.45362108,67.37544829,19.6564842,0.15,3.159077819,1.099854193,10.82819705,0,0,62,6.093078793,-3.595862736,-0.038148206,539
Logan Henderson,23,MIL,SP,,5.730314887,6.421256825,94,84.12234719,28.8043417,102.199066,42.54122586,0,4.073096093,1.201347754,9.785016955,8,16.416,27,15.11986728,-3.598954772,-1.208194778,284
Yusei Kikuchi,34,LAA,SP,,8.714329875,11.11131444,163,154.7456481,59.52670741,163.3170217,77.86665285,0,4.29938574,1.314554328,9.017504267,13,30.056,31,24.77450965,-3.62398038,-1.233220386,313
Jameson Taillon,34,CHC,SP,,8.835497998,9.239031617,149,147.6634539,35.59397987,116.223263,73.56408963,0,4.443468501,1.229915663,7.020197096,11,27.308,27,24.32292939,-3.639611346,-1.248851352,305
Chris Bassitt,37,BAL,SP,,10.21124893,10.64474727,167,162.2175228,57.23455145,149.5229004,80.63219695,0,4.34544774,1.314084277,8.058120383,14,28.432,34,22.80469772,-3.651999771,-1.261239776,298
Jack Leiter,25,TEX,SP,,8.520174356,9.739901068,148,132.1563666,60.06523941,145.0265911,70.609343,0,4.293811399,1.298794635,8.819184594,11,27.908,28,21.48922022,-3.661338893,-1.270578898,256
Matt Brash,27,SEA,RP,,3.427690597,2.407473727,62,50.19952505,24.69078453,73.02767838,21.69867318,3.0223,3.149807397,1.207908219,10.60079202,0,0.3,60,5.382570623,-3.666679351,-0.108964821,404
Ryan Weathers,26,NYY,SP,,6.83889856,6.452737681,107,97.70038568,36.85756884,104.7271948,48.25157681,0,4.058543844,1.257550977,8.808829471,10,18.788,27,14.80262681,-3.702752224,-1.31199223,300
Brady Singer,29,CIN,SP,,9.681578496,10.80760492,169,164.5475814,55.26630958,154.096682,82.7097812,0,4.404662904,1.300673911,8.206332177,13,30.956,31,24.87300323,-3.724362717,-1.333602723,296
Seranthony Dominguez,31,CHW,RP,,3.131319347,2.95111327,60,49.65842287,27.94954479,67.62400731,25.35462778,19.0744,3.803194167,1.293466128,10.1436011,0,0,63,7.271336855,-3.732501035,-0.174786505,280
Will Warren,26,NYY,SP,,7.621741606,8.16252354,132,122.649502,48.21593008,123.0565118,60.47208586,0,4.123096763,1.294435092,8.390216715,12,22.812,37,17.69332943,-3.738825585,-1.348065591,321
Jared Jones,24,PIT,SP,,5.812648593,6.274952554,100,90.24247949,33.54886708,95.35519992,43.55503921,0,3.919953529,1.237913466,8.581967993,9,18.264,22,12.45706606,-3.739249659,-1.348489664,368
Jacob Lopez,27,ATH,SP,,7.440395138,7.526468844,119,106.1712742,46.1780202,133.2546553,56.71176204,0,4.28912486,1.280246172,10.07808317,10,21.736,23,18.00070552,-3.740971731,-1.350211737,359
Kodai Senga,33,NYM,SP,,7.724073373,7.702668783,122,107.4544957,54.20550159,120.2974903,54.26087524,0,4.002851452,1.325081945,8.874405024,11,20.888,30,14.70511441,-3.776539939,-1.385779945,275
Alex Vesia,29,LAD,RP,,3.810854609,2.138280078,61,46.78295678,24.58939894,77.91567674,24.09662451,2.0763,3.555239682,1.170038618,11.49575558,0,0,64,8.511464819,-3.833945468,-0.276230938,351
Parker Messick,25,CLE,SP,,6.639526246,7.778497612,124,118.2793694,38.49468644,112.8219939,56.81293038,0,4.123519141,1.264306902,8.188693103,10,23.536,22,15.95355137,-3.850798488,-1.460038494,310
Ian Seymour,27,TB,RP,SP,5.664073298,6.450461349,106,97.1573369,32.4662414,96.31412456,47.8102026,0,4.059356825,1.222863946,8.17761435,11,14.792,35,14.9503449,-3.886532872,-0.328818343,286
Zach Eflin,31,BAL,SP,,8.266763896,8.303417361,132,136.2663005,25.86125067,103.4532416,64.76848698,0,4.416033203,1.228239024,7.05363011,11,22.26,27,20.78650258,-3.893520615,-1.502760621,388
Clayton Beeter,27,WSN,RP,,3.121637005,2.639542475,65,53.28644152,32.02797678,73.13852327,27.38563274,16.702,3.791856841,1.312529512,10.12687245,0,2.7,52,7.166036693,-3.940236959,-0.38252243,380
Louis Varland,28,TOR,RP,,4.270358298,3.098717384,79,72.50240595,23.2880802,69.36160617,31.89202153,2.4559,3.633268276,1.212537799,7.901955133,0,4.2,62,9.101728949,-3.969309284,-0.411594754,450
Tanner Scott,31,LAD,RP,,3.739697603,2.361626837,63,52.50679344,24.64243944,69.25023488,24.99179942,5.7788,3.570257059,1.224590998,9.892890697,0,0,63,6.839464256,-4.018106879,-0.460392349,361
Phil Maton,32,CHC,RP,,3.552830139,2.581533495,62,52.12105421,23.56777527,71.68193312,24.78802776,6.1039,3.598262094,1.220787572,10.4054419,0,0,63,6.860627052,-4.018341342,-0.460626812,416
Dylan Lee,31,ATL,RP,,3.361985151,2.340542162,64,55.94192566,18.03644953,71.36044786,25.72100181,1.5051,3.61701588,1.155912112,10.03506298,0,0,66,8.707439121,-4.104587243,-0.546872714,603
Orion Kerkering,24,PHI,RP,,3.962849423,2.487716955,63,53.67294725,22.50937247,65.48611741,23.88768291,1.7047,3.41252613,1.20924317,9.355159631,0,0,66,6.265159112,-4.110825595,-0.553111066,552
Hunter Harvey,31,CHC,RP,,3.145296451,2.024285091,52,44.31041914,14.59050717,55.54797382,19.71246534,4.4719,3.411772847,1.132710121,9.614072392,0,0.3,50,5.479801719,-4.116985557,-0.559271027,510
Slade Cecconi,26,CLE,SP,,7.753307587,9.653227608,145,144.4299168,37.01620788,121.0781888,71.63424403,0,4.446263423,1.251352584,7.515197925,11,26.108,27,23.57795299,-4.160958383,-1.770198389,409
Matt Strahm,34,KC,RP,,3.561153229,2.602546659,63,54.16064453,18.92884712,69.08883262,25.91240074,2.4055,3.701771534,1.160150661,9.869833232,0,0.6,64,8.353068205,-4.16187072,-0.60415619,355
Tyler Mahle,31,SF,SP,,7.223864143,7.412423496,122,118.6992173,37.89278871,104.7130557,56.97455849,0,4.2030412,1.283541033,7.724733619,9,23.584,22,15.98029966,-4.268501344,-1.877741349,367
Camilo Doval,28,NYY,RP,,3.825209656,2.451379309,64,51.9715176,30.18959815,68.50588677,24.57467817,5.1188,3.455814118,1.283767434,9.633640326,0,0,66,5.712337153,-4.279101832,-0.721387302,403
Michael McGreevy,25,STL,SP,,7.808129733,8.895686782,141,146.8200979,33.71073755,94.24997503,65.26231027,0,4.165679379,1.280360535,6.015955853,12,24.436,28,16.28209136,-4.279110961,-1.888350966,441
Chris Martin,39,TEX,RP,,2.863171176,2.379008966,50,45.75922121,10.416194,50.87931984,19.26745339,5.2344,3.468141611,1.123508304,9.158277571,0,0,51,5.664888075,-4.295715053,-0.738000523,
Max Meyer,26,MIA,SP,,6.59763323,8.49943776,118,113.7552621,37.92761189,115.30565,55.45405979,0,4.229546933,1.285448085,8.794498732,10,21.36,25,15.42808658,-4.296100055,-1.90534006,404
Taj Bradley,24,MIN,SP,,7.309424429,9.126918934,135,127.4189958,48.10239077,121.8417101,63.75631411,0,4.250420941,1.300158419,8.122780672,11,24.436,31,18.64764091,-4.307300176,-1.916540182,382
Eduard Bazardo,26,SEA,RP,,3.481390638,2.450968761,67,57.06041488,22.7324092,68.28519836,26.70714352,1.0074,3.587526741,1.190937673,9.172638586,0,0,66,8.140727563,-4.315536139,-0.757821609,
Kevin Ginkel,31,ARI,RP,,3.350085462,2.202391051,58,52.97331326,21.06289663,61.25502502,24.97643603,13.4679,3.875653866,1.276486377,9.505090089,0,0,57,6.147270684,-4.315626287,-0.757911757,412
Robert Stephenson,33,LAA,RP,,2.615815382,2.205867212,50,42.71379478,16.05952344,59.26361804,22.01199662,11.7355,3.962159392,1.175466364,10.66745125,0,0,48,7.50878249,-4.348218889,-0.790504359,408
Jose Alvarado,30,PHI,RP,,3.472395847,2.149308684,58,48.74088332,22.97524983,64.77810595,22.18232124,3.764,3.442084331,1.236485054,10.05177506,0,0,58,5.558091572,-4.362862413,-0.805147883,491
Tyler Holton,29,DET,RP,SP,3.822641954,3.311516232,74,68.66916914,18.82819239,57.96610991,30.24259973,1.1468,3.678154022,1.182396778,7.049932286,0,1.8,69,8.540859616,-4.385581428,-0.827866898,502
Bryan Baker,31,TB,RP,,3.527585545,2.598958159,62,52.24070551,21.52984815,68.97318916,25.63646958,2.4727,3.721423004,1.18984764,10.01223714,0,0,64,7.972927475,-4.390822045,-0.833107515,
Riley O'Brien,31,STL,RP,,3.249025632,2.544754472,61,53.76658952,26.95490848,64.17310877,25.18728511,12.9785,3.716156819,1.323303246,9.468163589,0,0,56,5.404240804,-4.40788158,-0.85016705,327
Fernando Cruz,35,NYY,RP,,3.590920863,2.462750962,57,44.56859776,26.11279127,77.96334788,22.8866478,2.2594,3.613681231,1.240024369,12.3100023,0,0.3,56,6.91255143,-4.417621045,-0.859906515,528
Steven Matz,34,TB,RP,,6.36543085,9.262404672,113,112.2077188,29.11367014,94.42347054,53.34796308,0.2,4.248952812,1.250631761,7.520453406,10,18.136,39,15.50412146,-4.420898385,-0.863183855,456
Drew Anderson,31,DET,SP,,4.240141624,4.419714536,94,80.56380332,36.77816348,93.64325012,41.1526014,0,3.940142687,1.248318796,8.965843097,0,10.672,46,10.79422613,-4.422389109,-2.031629115,
Luke Weaver,32,NYM,RP,,3.87508143,2.951119374,67,59.88442544,22.16382376,71.15434882,29.54663676,5.7563,3.968951206,1.224600734,9.558046857,0,1.5,61,9.536088906,-4.435242493,-0.877527964,372
Zack Littell,30,CIN,SP,,8.035087234,9.711949654,153,156.6377156,32.62686856,112.3871154,77.35449514,0,4.55026442,1.237023426,6.611006789,12,25.984,28,25.25673786,-4.435701851,-2.044941857,388
Andrew Kittredge,35,BAL,RP,,3.542527256,2.4006611,57,52.84416794,15.18507602,60.12161766,23.87434258,5.2935,3.769633039,1.193495508,9.492886999,0,0.3,57,7.300558309,-4.454354138,-0.896639608,460
Jared Koenig,32,MIL,RP,,3.765111582,2.721017225,67,58.83805514,23.00991766,65.05599066,26.71773728,1.4949,3.588949784,1.221611534,8.738864417,0,1.5,63,7.221340642,-4.455788583,-0.898074053,648
Nick Martinez,35,TB,SP,RP,8.032013467,10.70569407,141,141.8890804,37.75435578,104.6526973,68.43693604,0,4.368315066,1.274066923,6.6799594,13,20.712,44,20.00248048,-4.484974718,-2.094214723,427
JoJo Romero,29,STL,RP,,3.444729204,3.053630189,62,56.78096901,24.19320077,56.670895,25.40076197,11.5409,3.687207383,1.306034997,8.226420242,0,0,63,5.853270937,-4.500539902,-0.942825373,398
A.J. Minter,32,NYM,RP,,3.154019236,2.223805301,52,42.49343344,17.4852213,57.11059872,19.81046892,1.2875,3.428735006,1.153435668,9.884526701,0,0,54,5.737905411,-4.501802702,-0.944088172,611
Bryan King,29,HOU,RP,,3.646847679,2.557036176,65,58.40779531,19.43655999,63.97290728,26.23942865,0.857,3.63315166,1.197605466,8.857787161,0,0,65,7.58464616,-4.505408385,-0.947693855,575
Dustin May,28,STL,SP,,7.367057028,9.827830012,144,134.8260594,52.73927975,126.3618161,69.11394978,0,4.319621861,1.302537077,7.897613508,13,23.884,30,17.58250456,-4.510222362,-2.119462368,403
Landen Roupp,27,SF,SP,,6.814484507,8.187232001,117,110.9240361,45.50363905,109.4257818,52.81603358,0,4.062771814,1.336988676,8.417367828,10,21.736,27,12.86946709,-4.541472733,-2.150712738,418
Caleb Thielbar,39,CHC,RP,,3.508044587,2.425855005,60,51.23850394,19.32383479,63.44804199,24.50084072,0.918,3.675126108,1.176038979,9.517206298,0,0,63,7.540653056,-4.547734303,-0.990019773,
Noah Cameron,26,KC,SP,,8.313186193,8.410339695,142,140.4769181,45.51684233,121.0548393,68.92606598,0,4.368553478,1.309815214,7.672489812,11,26.284,26,19.64486261,-4.554433776,-2.163673781,241
Michael Wacha,34,KC,SP,,9.257133537,10.15109326,159,159.6367329,46.58202251,123.8722731,79.10115968,0,4.477424133,1.296973304,7.011638101,12,28.432,29,22.95405083,-4.563771909,-2.173011915,336
Michael Soroka,28,ARI,SP,RP,5.358611693,5.919370096,93,84.8185882,34.39122605,88.62222517,41.96408645,1.676,4.061040624,1.28182596,8.576344371,10,12.568,39,11.17187993,-4.567479417,-2.176719423,385
Matthew Liberatore,26,STL,SP,,7.856067318,10.0949932,144,142.9358149,44.08903383,117.8768311,69.58475245,0,4.349047028,1.298783672,7.367301943,11,26.708,29,19.00902022,-4.574815887,-2.184055892,424
Jason Adam,34,SD,RP,,3.277859031,2.487036948,56,45.94179141,20.45171223,57.51884792,21.58050796,0.8077,3.468295922,1.185598279,9.244100559,0,0,58,6.218932131,-4.632396776,-1.074682246,411
Tyler Rogers,35,TOR,RP,,4.015172319,2.750818048,71,70.37389697,15.22507504,46.06048918,29.06145699,2.8059,3.683846661,1.205619324,5.838653558,0,0,73,7.441606396,-4.640964906,-1.083250377,355
Justin Verlander,43,DET,SP,,7.866902311,8.670004118,139,132.3487878,45.676734,112.0719305,68.55330823,0,4.438703411,1.280759149,7.25645593,11,25.684,26,20.90652256,-4.651480795,-2.2607208,356
Max Scherzer,41,TOR,SP,,5.33856317,6.246931909,98,89.99247644,27.54039639,82.60978564,47.3871109,0,4.351877532,1.199315029,7.586612967,8,16.94,28,16.56709329,-4.663934943,-2.273174948,476
Roki Sasaki,24,LAD,SP,,6.540555392,5.828297307,103,94.70077389,38.96657,98.53201512,48.30425248,0,4.220759926,1.297741203,8.609593554,9,17.364,29,13.42620661,-4.675348494,-2.2845885,212
Shawn Armstrong,35,CLE,RP,,3.387825619,2.995567614,65,58.66622299,19.9871151,66.07687734,27.86999904,3.3786,3.858922944,1.210051355,9.149106093,0,0.9,65,7.97689112,-4.685878787,-1.128164257,410
Aaron Ashby,27,MIL,RP,,4.480450393,3.344187303,82,71.60129785,37.28002982,78.04920457,32.75117932,0.9449,3.594641633,1.327821069,8.566376111,0,4.848,57,6.75306556,-4.686524579,-1.128810049,
Matt Svanson,27,STL,RP,,3.189754788,2.60707416,67,62.18656627,23.59526957,62.11039976,27.4398635,6.9896,3.685951813,1.280325908,8.343188028,0,0.3,56,6.348459488,-4.705272664,-1.147558134,391
Steven Okert,34,HOU,RP,,3.457840817,2.469192359,61,50.8855862,21.66811779,69.64586168,25.92860538,0.6,3.825531941,1.189404984,10.27561894,0,0.3,63,8.883190228,-4.713036494,-1.155321964,
Yimi Garcia,35,TOR,RP,,2.864556497,1.935348215,51,42.55506158,17.65172941,58.11144565,20.6302423,3.7619,3.640630994,1.180525313,10.254961,0,0,50,6.227636733,-4.71922878,-1.16151425,
Kyle Harrison,24,MIL,SP,RP,4.86579974,5.177840209,103,91.73482341,39.21773477,88.82549991,46.15562,0,4.03301534,1.27138406,7.761451448,9,19.464,27,14.31091975,-4.738741651,-2.347981657,
Robert Gasser,26,MIL,SP,,4.424078284,4.334052406,78,72.12794923,24.35864969,72.68300114,33.99600997,0,3.922616535,1.237007678,8.386500132,8,11.744,29,10.52937982,-4.742503706,-2.351743712,
Dean Kremer,30,BAL,SP,,7.936697006,9.02548474,138,135.7099636,42.86217281,112.9899896,67.92020315,0,4.429578467,1.294000989,7.368912366,12,22.512,34,21.36651423,-4.753317616,-2.362557621,392
Cole Sands,28,MIN,RP,,3.701282464,3.161174214,68,63.45675285,20.64593947,64.32172663,29.93148269,4.7347,3.961519768,1.236804299,8.513169701,0,1.2,65,7.931668142,-4.798082082,-1.240367552,
Kumar Rocker,26,TEX,SP,,5.507742735,6.426320332,93,88.50887874,29.66220418,83.90994345,42.64979034,0,4.127399065,1.270656806,8.120317108,8,16.04,28,11.95619901,-4.803194381,-2.412434386,
Hunter Gaddis,27,CLE,RP,,3.49076917,3.083571592,71,64.70646617,22.54073553,66.85133935,31.19671714,3.5786,3.954513441,1.228833827,8.474113439,0,2.1,64,9.954091362,-4.840956251,-1.283241721,363
Grant Holmes,29,ATL,SP,,6.206838647,7.985062036,105,99.33475215,39.95063466,110.3248101,49.48274706,0,4.24137832,1.326527493,9.456412293,10,16.088,30,13.98460146,-4.883193857,-2.492433862,441
A.J. Puk,30,ARI,RP,,2.698443033,1.542723116,45,37.98997679,14.94340548,40.11022061,17.05256861,4.9781,3.410513723,1.176297384,8.022044122,0,0.6,47,4.910005804,-4.905388475,-1.347673945,
Brayan Bello,26,BOS,SP,,9.37973701,9.50119512,157,157.7135597,55.52236054,122.9714096,75.14516323,0,4.307684517,1.358190575,7.049316473,13,28.508,29,18.17296406,-4.917926926,-2.527166932,283
Taylor Rogers,35,MIN,RP,,3.021693837,2.345146531,56,51.0349729,23.92016575,58.92943577,25.54362116,15.13,4.105224829,1.338484619,9.470802178,0,0,58,6.796335211,-4.919929663,-1.362215133,436
Jose Berrios,31,TOR,SP,,7.43696121,8.539492612,135,132.3995978,41.95227545,110.2627919,66.74235284,0,4.449490189,1.291495358,7.350852794,13,19.988,39,20.04146507,-4.952710472,-2.561950478,369
